Data;Obs;Hora_Coleta;P24h;P72h;P1_pH;P2_pH;P2i_pH;P2ii_pH;P3_pH;P1_Cond;P2_Cond;P2i_Cond;P2ii_Cond;P3_Cond;P1_Temp_Ag;P2_Temp_Ag;P2i_Temp_Ag;P2ii_Temp_Ag;P3_Temp_Ag;P1_OD;P2_OD;P2i_OD;P2ii_OD;P3_OD;Dif_3_1;P1_Turb;P2_Turb;P2i_Turb;P2ii_Turb;P3_Turb;P1_P;P2_P_;P2_P;P3_P;P1_NH4;P2_NH4;P3_NH4;P1_NO2;P2_NO2;P3_NO2;P1_NO3;P2_NO3;P3_NO3;P1_DBO;P2_DBO;P3_DBO;P1_CT;P2_CT;P3_CT;P1_CF;P2_CF;P3_CF;P1_ST;P2_ST;P3_ST;P1_Po;P1_P2;P2_Po;P2_P2;P3_Po;P3_P2;Altura_da_regua_1;Altura_da_regua_2;Lâmina de água (cm);Q (l/s);Vel (cm/s);HRT (h);Temp;Radiacao;P_hor;P24h;P72h;Temp Media 24h (ºC);Temp Min24 h (ºC);Temp Max 24 h (ºC);Rad Media 24 h (W/m2);RadMin24 h;Rad Max 24 h (W/m2);Mes_;Est_;Data_hora_coleta;P2h;P6h;P12h;i_Qual1;i_Qual2;i_Vazao;i_Med_alt;i_Poda;ip24h;ip72h;i2p24h;i2p72h;P1_CF_log;P2_CF_log;P3_CF_log;"P24h(0;1)"
10/11/2022;Poda e medição 10/11;09:30;0;0,4;7;;;;7,1;275;;;;248;22,1;;;;22,1;3,45;;;;2,99;-0,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,9;18,4;1,5;1,31;;;25,6;1086;0;0;0;20,5;16,7;25,7;309;0;1086;11;PRI;11/10/2022 09:30;0;0;0;1;1;1;1;1;-;-;-;1;;;;-
11/11/2022;Posicion. CFW saída;09:00;0;0,2;7,1;;;;7,1;265;;;;254;21,6;;;;21,7;2,83;;;;3;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,9;18,3;1,4;1,18;;;25,4;1006;0;0;0;20,1;15,7;25,4;272;0;1086;11;PRI;11/11/2022 09:00;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
12/11/2022;FINAL DE SEMANA;;2;2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,3;883;0;2;2;21,8;19,2;27,3;204;0;995;11;PRI;;0;0;2;1;1;1;0;0;-;-;1;1;;;;>0
13/11/2022;FINAL DE SEMANA;;0;2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,7;928;0;0;2;23,9;22;27,4;310;0;1020;11;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
14/11/2022;;;7,2;9,2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,7;788;0;7;9;23,4;22,2;27,1;188;0;998;11;PRI;;0;1,2;1,6;1;1;1;0;0;-;-;1;1;;;;>0
15/11/2022;;;0;7,2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,1;1097;0;0;7;24,3;18,2;29,9;330;0;1097;11;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
16/11/2022;;;0;7,2;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26,6;1107;0;0;7;22,1;16,2;28,5;349;0;1107;11;PRI;;0;0;0;1;1;1;0;0;-;-;-;1;;;;-
17/11/2022;;10:00;0;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16,9;17,7;0,8;0,51;0,01451;2,63;28,8;1114;0;0;0;20,7;12,8;28,8;360;0;1114;11;PRI;11/17/2022 10:00:00;0;0;0;1;1;1;0;0;-;-;-;-;;;;-
18/11/2022;;;0;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24,2;1138;0;0;0;22,2;16,2;29;364;0;1138;11;PRI;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-
19/11/2022;FINAL DE SEMANA;;0;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,4;556;0;0;0;20,7;16,3;25,4;276;0;1100;11;PRI;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-
20/11/2022;FINAL DE SEMANA;;0;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25,2;826;0;0;0;23,1;21,3;26,1;279;0;1035;11;PRI;;0;0;0;1;1;1;0;0;-;-;-;-;;;;-
